"month","race_eth2","Age_Group","unemprate","emprate","nsamp"
2021-02-01,"Asian.Not Latino","16 to 24",0.0061147771096126,0.0745717802248127,247
2021-03-01,"Asian.Not Latino","16 to 24",0.0201843486323604,0.0789604446331563,203
2021-04-01,"Asian.Not Latino","16 to 24",0.021689294710023,0.10386844608145,226
2021-05-01,"Asian.Not Latino","16 to 24",0.0201275873972716,0.111939141951866,222
2021-06-01,"Asian.Not Latino","16 to 24",0.0157104127737323,0.141861337922572,225
2020-02-01,"Asian.Not Latino","25 to 34",0.0368812674098086,0.0382820455913454,780
2020-03-01,"Asian.Not Latino","25 to 34",0.0326645107561469,0.0468920036933209,734
2020-04-01,"Asian.Not Latino","25 to 34",0.0876674025409278,0.127099725723009,646
2020-05-01,"Asian.Not Latino","25 to 34",0.0527281339577082,0.155289963734291,603
2020-06-01,"Asian.Not Latino","25 to 34",0.0446434006893436,0.132190703120753,549
2020-07-01,"Asian.Not Latino","25 to 34",0.0263643700228688,0.122950169235057,550
2020-08-01,"Asian.Not Latino","25 to 34",0.040387983972996,0.0971773692368278,596
2020-09-01,"Asian.Not Latino","25 to 34",0.021655846671048,0.0831938690744261,695
2020-10-01,"Asian.Not Latino","25 to 34",0.0148167217590579,0.0555645796004185,738
2020-11-01,"Asian.Not Latino","25 to 34",0.0211878597164211,0.0581071472278426,740
2020-12-01,"Asian.Not Latino","25 to 34",0.0253215460777054,0.0508573286979751,700
2021-01-01,"Asian.Not Latino","25 to 34",0.0298457707357913,0.0529673834373972,707
2021-02-01,"Asian.Not Latino","25 to 34",0.0190414939418914,0.0305632840197727,721
2021-03-01,"Asian.Not Latino","25 to 34",0.0135930810927963,0.0521831101860964,697
2021-04-01,"Asian.Not Latino","25 to 34",0.0213762044371966,0.0495238704396702,701
2021-05-01,"Asian.Not Latino","25 to 34",0.0324972678808053,0.0547985001590546,707
2021-06-01,"Asian.Not Latino","25 to 34",0.0274576013773781,0.0551334606386681,660
2020-02-01,"Asian.Not Latino","35 to 44",0.0381667928758843,0.0153205404560901,828
2020-03-01,"Asian.Not Latino","35 to 44",0.0320789688089776,0.0322244855653739,716
2020-04-01,"Asian.Not Latino","35 to 44",0.0943239481506451,0.0986534404912772,681
2020-05-01,"Asian.Not Latino","35 to 44",0.0712700474443139,0.0938538577426945,686
2020-06-01,"Asian.Not Latino","35 to 44",0.0375249670212563,0.110413306797812,687
2020-07-01,"Asian.Not Latino","35 to 44",0.0443680939085421,0.069594767672282,709
2020-08-01,"Asian.Not Latino","35 to 44",0.0549593619589916,0.0644161542435003,724
2020-09-01,"Asian.Not Latino","35 to 44",0.0219724279253775,0.0576667097728897,761
2020-10-01,"Asian.Not Latino","35 to 44",0.0127928566181865,0.0396646923672908,787
2020-11-01,"Asian.Not Latino","35 to 44",0.0202087180431894,0.0430854867613871,763
2020-12-01,"Asian.Not Latino","35 to 44",0.0330446250552144,0.0397280280863148,706
2021-01-01,"Asian.Not Latino","35 to 44",0.0237583918844889,0.0589777397389527,718
2021-02-01,"Asian.Not Latino","35 to 44",0.0255408162593871,0.0557797156553429,715
2021-03-01,"Asian.Not Latino","35 to 44",0.0208813942192241,0.0589733906565123,711
2021-04-01,"Asian.Not Latino","35 to 44",0.0245898056881695,0.0500809323211667,741
2021-05-01,"Asian.Not Latino","35 to 44",0.0174199671092751,0.042115566128031,815
2021-06-01,"Asian.Not Latino","35 to 44",0.0391221957579881,0.0382165067338869,787
2020-02-01,"Asian.Not Latino","45 to 54",0.0334426456122417,0.0218258091313951,745
2020-03-01,"Asian.Not Latino","45 to 54",0.0416725912254287,0.0373878448375443,666
2020-04-01,"Asian.Not Latino","45 to 54",0.106504131821139,0.126243953884318,654
2020-05-01,"Asian.Not Latino","45 to 54",0.102688660460649,0.11610025883807,602
2020-06-01,"Asian.Not Latino","45 to 54",0.048079463413515,0.107518770209761,582
2020-07-01,"Asian.Not Latino","45 to 54",0.0467008099102793,0.11541336094319,586
2020-08-01,"Asian.Not Latino","45 to 54",0.043305780406196,0.0910267655455956,591
2020-09-01,"Asian.Not Latino","45 to 54",0.0225782890908153,0.0867702541068758,677
2020-10-01,"Asian.Not Latino","45 to 54",0.0187771403171731,0.096404080884708,710
2020-11-01,"Asian.Not Latino","45 to 54",0.0186030063810447,0.0604297295099113,706
2020-12-01,"Asian.Not Latino","45 to 54",0.0318188502285656,0.0494295513173983,648
2021-01-01,"Asian.Not Latino","45 to 54",0.0251041901701551,0.071440337600196,672
2021-02-01,"Asian.Not Latino","45 to 54",0.0200060068179386,0.0527185367719777,693
2021-03-01,"Asian.Not Latino","45 to 54",0.0152877071527771,0.0441802721977564,655
2021-04-01,"Asian.Not Latino","45 to 54",0.0179354027549668,0.0480938067916713,694
2021-05-01,"Asian.Not Latino","45 to 54",0.020685665927332,0.0410015541296318,687
2021-06-01,"Asian.Not Latino","45 to 54",0.033431404117333,0.0488949102271038,660
