"month","race_eth2","Age_Group","unemprate","emprate","nsamp"
2020-08-01,"Asian.Not Latino","65 or older",0.0429549582362303,0.160623891885909,156
2020-09-01,"Asian.Not Latino","65 or older",0.0357915149433825,0.112543275911707,165
2020-10-01,"Asian.Not Latino","65 or older",0.0452183455037506,0.0732321341515397,167
2020-02-01,"Black.Not Latino","16 to 24",0.0136017254257866,0.142257706132421,634
2020-03-01,"Black.Not Latino","16 to 24",0.037020171064712,0.154475288447076,536
2020-04-01,"Black.Not Latino","16 to 24",0.0905780337610257,0.304489672468103,440
2020-05-01,"Black.Not Latino","16 to 24",0.0624182986957815,0.312470529678161,420
2020-06-01,"Black.Not Latino","16 to 24",0.0348679006044683,0.275595955311518,418
2020-07-01,"Black.Not Latino","16 to 24",0.0259813548260398,0.259256341853608,466
2020-08-01,"Black.Not Latino","16 to 24",0.0307838181033955,0.250568660996115,470
2020-09-01,"Black.Not Latino","16 to 24",0.0276182366831116,0.211543253755346,585
2020-10-01,"Black.Not Latino","16 to 24",0.0200537114551338,0.192521123594721,646
2020-02-01,"Black.Not Latino","25 to 34",0.0226694192844873,0.0783490234384789,1172
2020-03-01,"Black.Not Latino","25 to 34",0.0331564300656844,0.0885267379534348,942
2020-04-01,"Black.Not Latino","25 to 34",0.0724100503110555,0.175040582024151,844
2020-05-01,"Black.Not Latino","25 to 34",0.0574367028894746,0.193344198933342,810
2020-06-01,"Black.Not Latino","25 to 34",0.0548813160869194,0.157388908207592,805
2020-07-01,"Black.Not Latino","25 to 34",0.091505826594234,0.162944413933416,786
2020-08-01,"Black.Not Latino","25 to 34",0.0528964566405274,0.148234249080662,877
2020-09-01,"Black.Not Latino","25 to 34",0.0319503966716022,0.125773847711182,1094
2020-10-01,"Black.Not Latino","25 to 34",0.0333353065979817,0.122079950259272,1180
2020-02-01,"Black.Not Latino","35 to 44",0.0250218146778187,0.0468552989458076,1157
2020-03-01,"Black.Not Latino","35 to 44",0.038674878768839,0.0419726115192942,1041
2020-04-01,"Black.Not Latino","35 to 44",0.0876478402441092,0.122089089956333,907
2020-05-01,"Black.Not Latino","35 to 44",0.0404830178000711,0.11930404222756,885
2020-06-01,"Black.Not Latino","35 to 44",0.049265400513233,0.0994038590050782,832
2020-07-01,"Black.Not Latino","35 to 44",0.0536859862871857,0.11536154254588,872
2020-08-01,"Black.Not Latino","35 to 44",0.0453348946159223,0.0981071071793109,1003
2020-09-01,"Black.Not Latino","35 to 44",0.0369678833207813,0.0946372883782112,1147
2020-10-01,"Black.Not Latino","35 to 44",0.033417273716919,0.0879477792234605,1170
2020-02-01,"Black.Not Latino","45 to 54",0.0270868865389255,0.0383471644622294,1150
2020-03-01,"Black.Not Latino","45 to 54",0.0325989726476074,0.0487683768630538,1023
2020-04-01,"Black.Not Latino","45 to 54",0.070600405943477,0.139578016975547,922
2020-05-01,"Black.Not Latino","45 to 54",0.063937305259151,0.130647889917197,881
2020-06-01,"Black.Not Latino","45 to 54",0.0493930939422558,0.137489530659954,845
2020-07-01,"Black.Not Latino","45 to 54",0.0612368923638759,0.113223720475919,815
2020-08-01,"Black.Not Latino","45 to 54",0.0483929095386229,0.0817816058055207,899
2020-09-01,"Black.Not Latino","45 to 54",0.0262931177390138,0.0970738961397931,1048
2020-10-01,"Black.Not Latino","45 to 54",0.0342854282831724,0.0766413412738788,1121
2020-02-01,"Black.Not Latino","55 to 64",0.0308828764049427,0.0234895250840573,938
2020-03-01,"Black.Not Latino","55 to 64",0.0446275033224451,0.0432958170400992,827
2020-04-01,"Black.Not Latino","55 to 64",0.0773975657625435,0.131082868488394,781
2020-05-01,"Black.Not Latino","55 to 64",0.0740149168042873,0.12881365696648,739
2020-06-01,"Black.Not Latino","55 to 64",0.0519330040032306,0.105705333494965,700
2020-07-01,"Black.Not Latino","55 to 64",0.0572217301522418,0.113817404132505,765
2020-08-01,"Black.Not Latino","55 to 64",0.0584887176468763,0.102878987958001,800
2020-09-01,"Black.Not Latino","55 to 64",0.0522585118761728,0.0800303125115656,880
2020-10-01,"Black.Not Latino","55 to 64",0.0368782686656686,0.0600418698738514,866
2020-02-01,"Black.Not Latino","65 or older",0.0261385150719716,0.0514082942256476,335
2020-03-01,"Black.Not Latino","65 or older",0.0290699704648246,0.0627103583992549,294
2020-04-01,"Black.Not Latino","65 or older",0.0960570630190508,0.153467632285425,287
2020-05-01,"Black.Not Latino","65 or older",0.0850250906647066,0.132953901393024,294
2020-06-01,"Black.Not Latino","65 or older",0.0462749790007177,0.127014850420249,268
2020-07-01,"Black.Not Latino","65 or older",0.0907369851512019,0.146820304205732,284
2020-08-01,"Black.Not Latino","65 or older",0.0789779417983417,0.119987198788543,323
2020-09-01,"Black.Not Latino","65 or older",0.0642485966461316,0.0716300537363491,332
2020-10-01,"Black.Not Latino","65 or older",0.0321431034871093,0.0859805268408649,323
2020-02-01,"Latino","16 to 24",0.0183854042544819,0.0830427167965223,1357
2020-03-01,"Latino","16 to 24",0.0470468641715759,0.123667479501163,1064
2020-04-01,"Latino","16 to 24",0.0690258983190255,0.289187225805897,898
2020-05-01,"Latino","16 to 24",0.0425419278062074,0.314278113085372,875
2020-06-01,"Latino","16 to 24",0.0298390354341092,0.249781325503104,878
2020-07-01,"Latino","16 to 24",0.0307084193001581,0.211594308304214,913
2020-08-01,"Latino","16 to 24",0.0384539416243368,0.151983920600493,906
2020-09-01,"Latino","16 to 24",0.0191589107308869,0.15970491088081,1172
2020-10-01,"Latino","16 to 24",0.0158362998643948,0.109155071450968,1225
2020-02-01,"Latino","25 to 34",0.0179509341857372,0.0394369326349038,2056
2020-03-01,"Latino","25 to 34",0.0445394179150888,0.0464208576792827,1604
2020-04-01,"Latino","25 to 34",0.0724055617315917,0.162265394775964,1457
2020-05-01,"Latino","25 to 34",0.0540123515266756,0.148601976796957,1356
2020-06-01,"Latino","25 to 34",0.0322761255689732,0.151300168779228,1273
2020-07-01,"Latino","25 to 34",0.05637370414053,0.118311222561528,1315
2020-08-01,"Latino","25 to 34",0.0395813593826383,0.116018545506961,1458
2020-09-01,"Latino","25 to 34",0.0326122788803498,0.101922974821759,1784
2020-10-01,"Latino","25 to 34",0.0187088485691119,0.0860032253504115,1953
2020-02-01,"Latino","35 to 44",0.0228549280231697,0.0399961218413041,1951
2020-03-01,"Latino","35 to 44",0.0468474649349405,0.0513185354853769,1605
2020-04-01,"Latino","35 to 44",0.0724613524014686,0.170002388430051,1481
2020-05-01,"Latino","35 to 44",0.0482938878794428,0.133898699477159,1378
2020-06-01,"Latino","35 to 44",0.0354760241123185,0.105244416024982,1376
