"month","race_eth2","educ","sex","unemprate","emprate"
2020-05-01,"Black.Not Latino","Some college","Female",0.0919226688506236,0.193907459816428
2020-06-01,"Black.Not Latino","Some college","Female",0.0589876134649423,0.164394126144891
2020-02-01,"Black.Not Latino",NA,"Female",0,0
2020-03-01,"Black.Not Latino",NA,"Female",0,0
2020-04-01,"Black.Not Latino",NA,"Female",0.102220602572722,0.149202890123824
2020-05-01,"Black.Not Latino",NA,"Female",0,0.152522920968454
2020-06-01,"Black.Not Latino",NA,"Female",0.110966795102214,0.290631127115537
2020-02-01,"Black.Not Latino","< High School","Male",0.0205109175343077,0.181552415994381
2020-03-01,"Black.Not Latino","< High School","Male",0.0500196302431104,0.231258083676473
2020-04-01,"Black.Not Latino","< High School","Male",0.0844063292577712,0.235825465505376
2020-05-01,"Black.Not Latino","< High School","Male",0.0809066080617261,0.302772409854243
2020-06-01,"Black.Not Latino","< High School","Male",0.0524704346459662,0.303812731940411
2020-02-01,"Black.Not Latino","Bachelors +","Male",0.0175764552195972,0.0273342125904261
2020-03-01,"Black.Not Latino","Bachelors +","Male",0.0356563815886855,0.0243304689039068
2020-04-01,"Black.Not Latino","Bachelors +","Male",0.0743584103068576,0.092793005486302
2020-05-01,"Black.Not Latino","Bachelors +","Male",0.037710635497901,0.089275890386973
2020-06-01,"Black.Not Latino","Bachelors +","Male",0.0328107832766135,0.0894681154733815
2020-02-01,"Black.Not Latino","High School","Male",0.0216194034152664,0.100228545372722
2020-03-01,"Black.Not Latino","High School","Male",0.0339121492089268,0.119926336467397
2020-04-01,"Black.Not Latino","High School","Male",0.100355256048571,0.207500279657747
2020-05-01,"Black.Not Latino","High School","Male",0.0612832791703412,0.188609511778888
2020-06-01,"Black.Not Latino","High School","Male",0.0385892770890558,0.180454294737823
2020-02-01,"Black.Not Latino","Some college","Male",0.0167464654202524,0.0637336766606474
2020-03-01,"Black.Not Latino","Some college","Male",0.0195811157282731,0.0619828858806428
2020-04-01,"Black.Not Latino","Some college","Male",0.0609957484436157,0.162462733723964
2020-05-01,"Black.Not Latino","Some college","Male",0.0663741346190333,0.161878515410576
2020-06-01,"Black.Not Latino","Some college","Male",0.0518520957927653,0.153746235420575
2020-02-01,"Black.Not Latino",NA,"Male",0,0
2020-03-01,"Black.Not Latino",NA,"Male",0,0.24575685456308
2020-04-01,"Black.Not Latino",NA,"Male",0,0.3716695946264
2020-05-01,"Black.Not Latino",NA,"Male",0.0994079989119602,0
2020-06-01,"Black.Not Latino",NA,"Male",0,0.13408109879357
2020-02-01,"Latino","< High School","Female",0.0168051221377795,0.0891948407179229
2020-03-01,"Latino","< High School","Female",0.0326799706079903,0.131965841094931
2020-04-01,"Latino","< High School","Female",0.109655072868007,0.246124690899249
2020-05-01,"Latino","< High School","Female",0.0602564048227543,0.28949895905441
2020-06-01,"Latino","< High School","Female",0.0314576252155862,0.228064178375243
2020-02-01,"Latino","Bachelors +","Female",0.024436474422834,0.0286933416183076
2020-03-01,"Latino","Bachelors +","Female",0.0478698880652133,0.038009088193072
2020-04-01,"Latino","Bachelors +","Female",0.0708269365941269,0.125448760524746
2020-05-01,"Latino","Bachelors +","Female",0.0501337239995956,0.133770202164333
2020-06-01,"Latino","Bachelors +","Female",0.0931258149882533,0.124142742388577
2020-02-01,"Latino","High School","Female",0.0260499080901769,0.0522661010615998
2020-03-01,"Latino","High School","Female",0.0526332662404987,0.0592463919394355
2020-04-01,"Latino","High School","Female",0.0878239778990265,0.251295111614031
2020-05-01,"Latino","High School","Female",0.0604169395173348,0.209524457276841
2020-06-01,"Latino","High School","Female",0.0565329571577331,0.160884510391548
2020-02-01,"Latino","Some college","Female",0.018837150860504,0.0483221922945987
2020-03-01,"Latino","Some college","Female",0.0592591159878042,0.0538562084114543
2020-04-01,"Latino","Some college","Female",0.100209306469605,0.207735369304399
2020-05-01,"Latino","Some college","Female",0.0682427300058806,0.211900724577426
2020-06-01,"Latino","Some college","Female",0.0559298702257638,0.169220636177008
2020-02-01,"Latino",NA,"Female",0.0122939064732939,0.0966388625025058
2020-03-01,"Latino",NA,"Female",0.0906495347818855,0.107267663899268
2020-04-01,"Latino",NA,"Female",0.108515545909271,0.261115860364723
2020-05-01,"Latino",NA,"Female",0.091893573664287,0.207485830414279
2020-06-01,"Latino",NA,"Female",0.0428028850144761,0.170734021657764
