"month","race_eth2","stname","emprate","nsamp"
2020-06-01,"Black.Not Latino","Massachusetts",0.167710695367332,67
2020-02-01,"Black.Not Latino","Michigan",0.0688769933886687,106
2020-03-01,"Black.Not Latino","Michigan",0.0740723426925792,92
2020-04-01,"Black.Not Latino","Michigan",0.363939368090574,73
2020-05-01,"Black.Not Latino","Michigan",0.433655591919643,76
2020-06-01,"Black.Not Latino","Michigan",0.320458196971648,101
2020-02-01,"Black.Not Latino","Minnesota",0.0475001807520063,33
2020-02-01,"Black.Not Latino","Mississippi",0.0948997919700106,317
2020-03-01,"Black.Not Latino","Mississippi",0.106677424044661,279
2020-04-01,"Black.Not Latino","Mississippi",0.166215481141599,212
2020-05-01,"Black.Not Latino","Mississippi",0.0982687643396567,184
2020-06-01,"Black.Not Latino","Mississippi",0.115470038860642,204
2020-02-01,"Black.Not Latino","Missouri",0.028982165979639,90
2020-03-01,"Black.Not Latino","Missouri",0.0555062341891741,75
2020-04-01,"Black.Not Latino","Missouri",0.094827080809725,76
2020-05-01,"Black.Not Latino","Missouri",0.0553367023242038,61
2020-06-01,"Black.Not Latino","Missouri",0.0849734209044752,58
2020-02-01,"Black.Not Latino","Nevada",0.125751487670629,78
2020-03-01,"Black.Not Latino","Nevada",0.102064775969282,75
2020-04-01,"Black.Not Latino","Nevada",0.258763265002342,64
2020-05-01,"Black.Not Latino","Nevada",0.307394058341252,59
2020-06-01,"Black.Not Latino","Nevada",0.120823260984018,37
2020-02-01,"Black.Not Latino","New Jersey",0.0670387879631485,146
2020-03-01,"Black.Not Latino","New Jersey",0.0736021651361092,95
2020-04-01,"Black.Not Latino","New Jersey",0.0997856575991161,89
2020-05-01,"Black.Not Latino","New Jersey",0.198111692860259,69
2020-06-01,"Black.Not Latino","New Jersey",0.190361774130436,56
2020-02-01,"Black.Not Latino","New York",0.0374157727437097,264
2020-03-01,"Black.Not Latino","New York",0.0576477961777054,231
2020-04-01,"Black.Not Latino","New York",0.135711269413375,191
2020-05-01,"Black.Not Latino","New York",0.190565343509916,180
2020-06-01,"Black.Not Latino","New York",0.208314875383752,183
2020-02-01,"Black.Not Latino","North Carolina",0.0541022719963669,246
2020-03-01,"Black.Not Latino","North Carolina",0.0637924647747644,204
2020-04-01,"Black.Not Latino","North Carolina",0.146523921692481,179
2020-05-01,"Black.Not Latino","North Carolina",0.167339521021879,156
2020-06-01,"Black.Not Latino","North Carolina",0.112712603205645,156
2020-02-01,"Black.Not Latino","North Dakota",0.097794572908983,31
2020-02-01,"Black.Not Latino","Ohio",0.0604350235605419,105
2020-03-01,"Black.Not Latino","Ohio",0.119762198483206,106
2020-04-01,"Black.Not Latino","Ohio",0.272936392677807,85
2020-05-01,"Black.Not Latino","Ohio",0.264644684530911,84
2020-06-01,"Black.Not Latino","Ohio",0.154843213457671,80
2020-02-01,"Black.Not Latino","Oklahoma",0.0539358300288443,38
2020-03-01,"Black.Not Latino","Oklahoma",0.105457506597503,43
2020-05-01,"Black.Not Latino","Oklahoma",0.120211650291647,31
2020-06-01,"Black.Not Latino","Oklahoma",0.0461265206696644,34
2020-02-01,"Black.Not Latino","Pennsylvania",0.0739337118006301,107
2020-03-01,"Black.Not Latino","Pennsylvania",0.0916273957878405,105
2020-04-01,"Black.Not Latino","Pennsylvania",0.277046719737086,97
2020-05-01,"Black.Not Latino","Pennsylvania",0.170413953699718,91
